,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death","Talking disease symptoms, diagnosis",Antidepressants,Relationship related
104,,opinions_really_pay,,,,waking_feel_heart,,,suicidal_right_lost,really_dissociated_really,,
105,,help_mental_illnesses,,,,thank_dealing_anxiety,,,love_dead_sent,body_kind_therapy,,
106,,leah_spend_time,,,,astounded_surgery,,,cuts_happened_scar,meds_cutting_past,,
107,,surgery_right_direction,,,,thoughts_constantly,,,explain_reason_hurt,stressful,,
108,,professionals_believe_diagnosis,,,,sorry_hugs_happy,,,feel_pain,dig_hole_therapy,,
109,,believe_tell_paint,,,,drum_breaks_hard,,,impulses_hurt,diagnosis,,
110,,think_crazy_genetic,,,,symbol_oppression,,,mother_suicide_plan,need_hospitalization,,
111,,surreal_brainwashed,,,,love_boobies_intense,,,suicides_school_years,symptoms_shared_psychosis,,
112,,return_confirmed_deans,,,,neck_sorry_worry,,,harming_session_youngest,having_psychotic_depression,,
113,,fit_different_corollas,,,,love_riot_pro,,,harming_skipping_therapy,straddled_border_psychosis,,
114,,safe_students_want,,,,hospitalization_stressful_shameful,,,points_thought_death,taking_schizophrenics_different,,
115,,stalking_children_going,,,,experiences_awkward_funny,,,learn_pain_want,advice_bpd_therapy,,
116,,stay_probably,,,,esteem_low_easy,,,acne_super_sensitive,bpd_need_psychiatric,,
117,,pattern_delete_snare,,,,feel_like_skinny,,,need_self_destruction,diet_preparation_surgery,,
118,,future_nhl_starter,,,,self_esteem,,,mean_like_suicidal,oh_medicated_just,,
119,,recent_comments_probably,,,,chapter_change_love,,,enzo_injury_period,youth_rotated_therapies,,
120,,therapy_wish_luck,,,,moving_helped_relationship,,,split_slayers,depression_self_esteem,,
121,,definitely_make_happy,,,,just_jealous,,,body_removed_help,girlfriend_therapy_highly,,
122,,bad_doubt_fjm,,,,post_darksouls_hey,,,soloing_online_alright,mental_illness_accurately,,
123,,debate_ap_board,,,,bigger_gets_jealous,,,,free_therapists,,
124,,previous_ownership_obscure,,,,believe_malcolm_quite,,,,counseling_called,,
125,,compulsion_takes,,,,cared_way_guilt,,,,disassociated_current_therapist,,
126,,outlets_frustrations_therapist,,,,stupid_shit_wilkins,,,,depression_self,,
127,,response_overwhelming_tragedy,,,,fucking_terrifying_putting,,,,dissociative_identity_disorder,,
128,,figure_mental_complex,,,,great_cuddle_sad,,,,weight_loss,,
129,,morbidquestions_leaving_note,,,,talking_worried_disgusts,,,,help_depression_thanks,,
130,,strong_aspects_cd,,,,possessed_periods_violence,,,,digestive_expert_answers,,
131,,deal_disabled_mum,,,,previews_skeeved_mental,,,,starting_psych_therapy,,
132,,anticlimactic_reigns_suspension,,,,extremely_temperamental_scanning,,,,manage_depression_crochet,,
133,,plays_abuses_freelo,,,,afraid_going_sued,,,,beginning_therapy_useless,,
134,,health_papers_cite,,,,themes_disappointment,,,,originally_called_borderline,,
135,,season_jeff_centered,,,,chewing_leg_makes,,,,depression_finding,,
136,,room_rearranged_texted,,,,insults_points_defend,,,,bipolar_went_intense,,
137,,prying,,,,finger_broke_month,,,,mandated_family_therapy,,
138,,let_prying_damaging,,,,bleu_cheese_harmful,,,,wall_close_schizophrenia,,
139,,believe_invoke_discussion,,,,consecutive_kills_feels,,,,telling_surgery_struggled,,
140,,supremacists_counterproductive,,,,positives_days_faint,,,,therapist_coping_skills,,
141,,hands_stupidity_want,,,,just_depression,,,,preparation_surgery_counselling,,
142,,know_explain_reason,,,,higher_tiers_doomed,,,,impossible_lose_weight,,
143,,sun_eberron_suggestions,,,,groundskeepers_ashamed_man,,,,manic_depressive_periods,,
144,,stop_nails_cigs,,,,choice_shitty_freelance,,,,referred_grief_counseling,,
145,,mario_roommate_banned,,,,wresking_havoc_relationship,,,,help_mental_illnesses,,
146,,cats_alike_issue,,,,bullshit_rule_yards,,,,psych_therapy,,
147,,need_self,,,,adamant_power_creep,,,,thing_depression_self,,
148,,contributing_just_positive,,,,schizophrenia_actually_pretty,,,,therapy_figured_problem,,
149,,complaining_boring_cheeze,,,,tips_suck_harmonies,,,,bin_mental_illness,,
150,,getting_self,,,,thought_help_depression,,,,therapy_recounted_time,,
151,,,,,,hear_sorry,,,,illnesses_depression_manifest,,
152,,,,,,confused_getting_arrested,,,,started_couples_counseling,,
153,,,,,,awkward_canadian_syrup,,,,surgery_changed_lifei,,
154,,,,,,tons_tons_racist,,,,weight_talking_surgeon,,
155,,,,,,blade_pills_regret,,,,year_decide_surgery,,
156,,,,,,embarrassing_self_confidence,,,,intensity_disorder_simply,,
157,,,,,,cancer_afterward_engaged,,,,grasp_mental_health,,
158,,,,,,lying_cancer,,,,repetitively_think_seen,,
159,,,,,,good_bye_horses,,,,psych_therapy_figured,,
160,,,,,,rape_abomination_sad,,,,psychosis_real_excellent,,
161,,,,,,legs_handle_weight,,,,open_depression_psychosis,,
162,,,,,,hyper_honest,,,,order_believe_surgery,,
163,,,,,,story_survived_molestation,,,,dialectic_behavioral_therapy,,
164,,,,,,dog_story_upset,,,,depression_finding_root,,
165,,,,,,riot,,,,morbidreality_http_www,,
166,,,,,,emo_faggots_telling,,,,lied_therapist_let,,
167,,,,,,great_conversation,,,,person_starting_psych,,
168,,,,,,such_great_conversation_starters,,,,psychologist_dietician,,
169,,,,,,therapies_thank_proud,,,,depression,,
170,,,,,,dropped_zombie,,,,depression_diagnosis_came,,
171,,,,,,think_zombie,,,,surgeon_specialist_informed,,
172,,,,,,just_make_zombie,,,,tests_progesterone_got,,
173,,,,,,nostalgic_limited_edition,,,,day_surgery_finally,,
174,,,,,,scary_parallels_history,,,,money_private_therapist,,
175,,,,,,cage_cats_shelter,,,,included_budget_need,,
176,,,,,,says_criticism_little,,,,fact_wearing_carelessly,,
177,,,,,,therapy_good_thank,,,,severe_social_anxiety,,
178,,,,,,offensive_psychiatrist_thanks,,,,ptsd_talk,,
179,,,,,,thinking_cool_wear,,,,lethargic_stressful_exercising,,
180,,,,,,strong_thoughts_alternating,,,,hallucinations_voices_acting,,
181,,,,,,led_sewing_happy,,,,therapy_figure_triggers,,
182,,,,,,perpetrators_make_world,,,,depressed_talk_help,,
183,,,,,,sign_zed_disappointing,,,,ask_mental,,
184,,,,,,thank_totally_fall,,,,like_therapist_court,,
185,,,,,,muster_spells_place,,,,slowly_trying_depression,,
186,,,,,,great_insurance_stopped,,,,depression_affect_relationship,,
187,,,,,,jokes_unjust_meth,,,,recommend_portrays_mental,,
188,,,,,,,,,,finding_correct_treatment,,
189,,,,,,,,,,sleeve_procedure_involves,,
190,,,,,,,,,,scale_therapy,,
191,,,,,,,,,,lbs_total_depression,,
192,,,,,,,,,,mental_health_clinic,,
193,,,,,,,,,,just_depression_finding,,
194,,,,,,,,,,starting_psych,,
195,,,,,,,,,,symptoms_depression_sure,,
196,,,,,,,,,,hospitalization_stressful_shameful,,
197,,,,,,,,,,therapy,,
198,,,,,,,,,,therapy_figured,,
199,,,,,,,,,,discussing_therapist_slowly,,
200,,,,,,,,,,surgery_kilograms,,
201,,,,,,,,,,dissociated_genetics,,
202,,,,,,,,,,locked_told_counselor,,
203,,,,,,,,,,sessions_beginning_diagnosis,,
204,,,,,,,,,,harming_skipping_therapy,,
205,,,,,,,,,,young_think_diagnosis,,
206,,,,,,,,,,make_appointment_lots,,
207,,,,,,,,,,got_second_bray,,
208,,,,,,,,,,therapist_just_scare,,
209,,,,,,,,,,thing_depression,,
210,,,,,,,,,,catatonia_severe,,
211,,,,,,,,,,felt_nearly_manic,,
212,,,,,,,,,,different_antidepressants_help,,
213,,,,,,,,,,started_feeling_sadness,,
214,,,,,,,,,,felt_felt_guilty,,
215,,,,,,,,,,feeling_suicidal,,
216,,,,,,,,,,cough_syrup_did,,
217,,,,,,,,,,took_anti_depressants,,
218,,,,,,,,,,blocked_email_address,,
219,,,,,,,,,,mouth_faster_thoughts,,
220,,,,,,,,,,crying_got_kind,,
221,,,,,,,,,,cutting_outlet_anxiety,,
222,,,,,,,,,,scars_used_stimulate,,
223,,,,,,,,,,depressed_ponies_supposed,,
224,,,,,,,,,,overwhelmed_paranoid,,
225,,,,,,,,,,neurosis,,
226,,,,,,,,,,dark_explore_really,,
227,,,,,,,,,,amorality_empathy_hallucinations,,
228,,,,,,,,,,love_person_anorexia,,
229,,,,,,,,,,wellness_violation,,
230,,,,,,,,,,longer_manic_episodes,,
231,,,,,,,,,,cards_cough_drakonid,,
232,,,,,,,,,,planet_just_slopes,,
233,,,,,,,,,,pregnancy_grrr,,
234,,,,,,,,,,psychiatrist_thanks,,
235,,,,,,,,,,pregnancy_thanks,,
236,,,,,,,,,,expected_aftermarket_head,,
237,,,,,,,,,,similar_issue_nail,,
238,,,,,,,,,,ignorant_years_therapy,,
239,,,,,,,,,,abuse_helped_distance,,
240,,,,,,,,,,depression_social,,
